district,date,disease,disease_group,disease_communicable,n_cases
Moshi,2014-03-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-03-01,Tuberculosis,Respiratory Infection,CD,26
Moshi,2014-03-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,0
Moshi,2014-03-01,Upper Respiratory Infections,Respiratory Infection,CD,2508
Moshi,2014-03-01,Urinary Tract Infections,Other Communicable Diseases,CD,2400
Moshi,2014-03-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-03-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-04-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-04-01,Bronchial Asthma,Respiratory Disease,NCD,750
Moshi,2014-04-01,Caries,Other Non-Communicable Diseases,NCD,444
Moshi,2014-04-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-04-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-04-01,Diabetes Mellitus,Diabetes Mellitus,NCD,901
Moshi,2014-04-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-04-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-04-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,124
Moshi,2014-04-01,Epilepsy,Neurological Disorders,NCD,176
Moshi,2014-04-01,Fractures,Trauma and Injuries,NCD,390
Moshi,2014-04-01,Gynecological Diseases,Gynecological Diseases,NCD,239
Moshi,2014-04-01,Hypertension,Cardiovascular Disease,NCD,749
Moshi,2014-04-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-04-01,Influenza,Respiratory Infection,CD,0
Moshi,2014-04-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,1008
Moshi,2014-04-01,Kwashiorkor,Malnutrition,NCD,41
Moshi,2014-04-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-04-01,Malaria,Vector borne infection,CD,167
Moshi,2014-04-01,Marasmic Kwashiorkor,Malnutrition,NCD,37
Moshi,2014-04-01,Marasmus,Malnutrition,NCD,1
Moshi,2014-04-01,Measles,Other Communicable Diseases,CD,0
Moshi,2014-04-01,Meningitis,Neurological Disorders,Both,6
Moshi,2014-04-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,523
Moshi,2014-04-01,Moderate Malnutrition,Malnutrition,NCD,73
Moshi,2014-04-01,Neoplasms/Cancer,Cancer,NCD,32
Moshi,2014-04-01,Neuroses,Neurological Disorders,NCD,60
Moshi,2014-04-01,"Nutritional Disorders, Other",Malnutrition,NCD,4
Moshi,2014-04-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,159
Moshi,2014-04-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,470
Moshi,2014-04-01,"Pneumonia, Severe",Respiratory Infection,CD,324
Moshi,2014-04-01,Poisoning,Other Non-Communicable Diseases,NCD,138
Moshi,2014-04-01,Psychoses,Neurological Disorders,NCD,105
Moshi,2014-04-01,Rabies,Other Communicable Diseases,CD,0
Moshi,2014-04-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-04-01,Road Traffic Accidents,Trauma and Injuries,NCD,211
Moshi,2014-04-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,11
Moshi,2014-04-01,Skin Infection - Fungal,Skin infection,CD,634
Moshi,2014-04-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,1
Moshi,2014-04-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
Moshi,2014-04-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-04-01,Tuberculosis,Respiratory Infection,CD,16
Moshi,2014-04-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,1
Moshi,2014-04-01,Upper Respiratory Infections,Respiratory Infection,CD,2861
Moshi,2014-04-01,Urinary Tract Infections,Other Communicable Diseases,CD,2466
Moshi,2014-04-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-04-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-05-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-05-01,Bronchial Asthma,Respiratory Disease,NCD,621
Moshi,2014-05-01,Caries,Other Non-Communicable Diseases,NCD,521
Moshi,2014-05-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-05-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-05-01,Diabetes Mellitus,Diabetes Mellitus,NCD,1234
Moshi,2014-05-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-05-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-05-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,140
Moshi,2014-05-01,Epilepsy,Neurological Disorders,NCD,207
Moshi,2014-05-01,Fractures,Trauma and Injuries,NCD,471
Moshi,2014-05-01,Gynecological Diseases,Gynecological Diseases,NCD,235
Moshi,2014-05-01,Hypertension,Cardiovascular Disease,NCD,1149
Moshi,2014-05-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-05-01,Influenza,Respiratory Infection,CD,3
Moshi,2014-05-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,1002
Moshi,2014-05-01,Kwashiorkor,Malnutrition,NCD,64
Moshi,2014-05-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-05-01,Malaria,Vector borne infection,CD,478
Moshi,2014-05-01,Marasmic Kwashiorkor,Malnutrition,NCD,43
Moshi,2014-05-01,Marasmus,Malnutrition,NCD,12
Moshi,2014-05-01,Measles,Other Communicable Diseases,CD,0
Moshi,2014-05-01,Meningitis,Neurological Disorders,Both,1
Moshi,2014-05-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,505
Moshi,2014-05-01,Moderate Malnutrition,Malnutrition,NCD,91
Moshi,2014-05-01,Neoplasms/Cancer,Cancer,NCD,29
Moshi,2014-05-01,Neuroses,Neurological Disorders,NCD,37
Moshi,2014-05-01,"Nutritional Disorders, Other",Malnutrition,NCD,28
Moshi,2014-05-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,311
Moshi,2014-05-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,599
Moshi,2014-05-01,"Pneumonia, Severe",Respiratory Infection,CD,459
Moshi,2014-05-01,Poisoning,Other Non-Communicable Diseases,NCD,265
Moshi,2014-05-01,Psychoses,Neurological Disorders,NCD,104
Moshi,2014-05-01,Rabies,Other Communicable Diseases,CD,0
Moshi,2014-05-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-05-01,Road Traffic Accidents,Trauma and Injuries,NCD,173
Moshi,2014-05-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,76
Moshi,2014-05-01,Skin Infection - Fungal,Skin infection,CD,817
Moshi,2014-05-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,0
Moshi,2014-05-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
Moshi,2014-05-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-05-01,Tuberculosis,Respiratory Infection,CD,44
Moshi,2014-05-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,1
Moshi,2014-05-01,Upper Respiratory Infections,Respiratory Infection,CD,3459
Moshi,2014-05-01,Urinary Tract Infections,Other Communicable Diseases,CD,4676
Moshi,2014-05-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-05-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-06-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-06-01,Bronchial Asthma,Respiratory Disease,NCD,428
Moshi,2014-06-01,Caries,Other Non-Communicable Diseases,NCD,602
Moshi,2014-06-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-06-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-06-01,Diabetes Mellitus,Diabetes Mellitus,NCD,946
Moshi,2014-06-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-06-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-06-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,160
Moshi,2014-06-01,Epilepsy,Neurological Disorders,NCD,181
Moshi,2014-06-01,Fractures,Trauma and Injuries,NCD,349
Moshi,2014-06-01,Gynecological Diseases,Gynecological Diseases,NCD,323
Moshi,2014-06-01,Hypertension,Cardiovascular Disease,NCD,695
Moshi,2014-06-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-06-01,Influenza,Respiratory Infection,CD,3
Moshi,2014-06-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,751
Moshi,2014-06-01,Kwashiorkor,Malnutrition,NCD,58
Moshi,2014-06-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-06-01,Malaria,Vector borne infection,CD,293
Moshi,2014-06-01,Marasmic Kwashiorkor,Malnutrition,NCD,40
Moshi,2014-06-01,Marasmus,Malnutrition,NCD,7
Moshi,2014-06-01,Measles,Other Communicable Diseases,CD,0
Moshi,2014-06-01,Meningitis,Neurological Disorders,Both,3
Moshi,2014-06-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,436
Moshi,2014-06-01,Moderate Malnutrition,Malnutrition,NCD,170
Moshi,2014-06-01,Neoplasms/Cancer,Cancer,NCD,15
Moshi,2014-06-01,Neuroses,Neurological Disorders,NCD,101
Moshi,2014-06-01,"Nutritional Disorders, Other",Malnutrition,NCD,39
Moshi,2014-06-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,282
Moshi,2014-06-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,537
Moshi,2014-06-01,"Pneumonia, Severe",Respiratory Infection,CD,496
Moshi,2014-06-01,Poisoning,Other Non-Communicable Diseases,NCD,194
Moshi,2014-06-01,Psychoses,Neurological Disorders,NCD,124
Moshi,2014-06-01,Rabies,Other Communicable Diseases,CD,0
Moshi,2014-06-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-06-01,Road Traffic Accidents,Trauma and Injuries,NCD,220
Moshi,2014-06-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,11
Moshi,2014-06-01,Skin Infection - Fungal,Skin infection,CD,657
Moshi,2014-06-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,4
Moshi,2014-06-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
Moshi,2014-06-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-06-01,Tuberculosis,Respiratory Infection,CD,26
Moshi,2014-06-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,0
Moshi,2014-06-01,Upper Respiratory Infections,Respiratory Infection,CD,2676
Moshi,2014-06-01,Urinary Tract Infections,Other Communicable Diseases,CD,2237
Moshi,2014-06-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-06-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-07-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-07-01,Bronchial Asthma,Respiratory Disease,NCD,689
Moshi,2014-07-01,Caries,Other Non-Communicable Diseases,NCD,590
Moshi,2014-07-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-07-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-07-01,Diabetes Mellitus,Diabetes Mellitus,NCD,1021
Moshi,2014-07-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-07-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,452
Moshi,2014-07-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,144
Moshi,2014-07-01,Epilepsy,Neurological Disorders,NCD,234
Moshi,2014-07-01,Fractures,Trauma and Injuries,NCD,452
Moshi,2014-07-01,Gynecological Diseases,Gynecological Diseases,NCD,372
Moshi,2014-07-01,Hypertension,Cardiovascular Disease,NCD,1021
Moshi,2014-07-01,Infectious Eye Disease,Other Communicable Diseases,CD,171
Moshi,2014-07-01,Influenza,Respiratory Infection,CD,0
Moshi,2014-07-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,864
Moshi,2014-07-01,Kwashiorkor,Malnutrition,NCD,68
Moshi,2014-07-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-07-01,Malaria,Vector borne infection,CD,140
Moshi,2014-07-01,Marasmic Kwashiorkor,Malnutrition,NCD,42
Moshi,2014-07-01,Marasmus,Malnutrition,NCD,11
Moshi,2014-07-01,Measles,Other Communicable Diseases,CD,0
Moshi,2014-07-01,Meningitis,Neurological Disorders,Both,0
Moshi,2014-07-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,364
Moshi,2014-07-01,Moderate Malnutrition,Malnutrition,NCD,100
Moshi,2014-07-01,Neoplasms/Cancer,Cancer,NCD,8
Moshi,2014-07-01,Neuroses,Neurological Disorders,NCD,106
Moshi,2014-07-01,"Nutritional Disorders, Other",Malnutrition,NCD,50
Moshi,2014-07-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,297
Moshi,2014-07-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,744
Moshi,2014-07-01,"Pneumonia, Severe",Respiratory Infection,CD,405
Moshi,2014-07-01,Poisoning,Other Non-Communicable Diseases,NCD,153
Moshi,2014-07-01,Psychoses,Neurological Disorders,NCD,80
Moshi,2014-07-01,Rabies,Other Communicable Diseases,CD,1
Moshi,2014-07-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-07-01,Road Traffic Accidents,Trauma and Injuries,NCD,161
Moshi,2014-07-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,9
Moshi,2014-07-01,Skin Infection - Fungal,Skin infection,CD,799
Moshi,2014-07-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,3
Moshi,2014-07-01,Substance Abuse,Other Non-Communicable Diseases,NCD,32
Moshi,2014-07-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-07-01,Tuberculosis,Respiratory Infection,CD,34
Moshi,2014-07-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,NA
Moshi,2014-07-01,Upper Respiratory Infections,Respiratory Infection,CD,3049
Moshi,2014-07-01,Urinary Tract Infections,Other Communicable Diseases,CD,2300
Moshi,2014-07-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-07-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-08-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-08-01,Bronchial Asthma,Respiratory Disease,NCD,448
Moshi,2014-08-01,Caries,Other Non-Communicable Diseases,NCD,711
Moshi,2014-08-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,4
Moshi,2014-08-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-08-01,Diabetes Mellitus,Diabetes Mellitus,NCD,708
Moshi,2014-08-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,33
Moshi,2014-08-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-08-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,113
Moshi,2014-08-01,Epilepsy,Neurological Disorders,NCD,544
Moshi,2014-08-01,Fractures,Trauma and Injuries,NCD,282
Moshi,2014-08-01,Gynecological Diseases,Gynecological Diseases,NCD,214
Moshi,2014-08-01,Hypertension,Cardiovascular Disease,NCD,822
Moshi,2014-08-01,Infectious Eye Disease,Other Communicable Diseases,CD,15
Moshi,2014-08-01,Influenza,Respiratory Infection,CD,4
Moshi,2014-08-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,609
Moshi,2014-08-01,Kwashiorkor,Malnutrition,NCD,40
Moshi,2014-08-01,Leprosy,Other Communicable Diseases,CD,23
Moshi,2014-08-01,Malaria,Vector borne infection,CD,76
Moshi,2014-08-01,Marasmic Kwashiorkor,Malnutrition,NCD,37
Moshi,2014-08-01,Marasmus,Malnutrition,NCD,0
Moshi,2014-08-01,Measles,Other Communicable Diseases,CD,6
Moshi,2014-08-01,Meningitis,Neurological Disorders,Both,0
Moshi,2014-08-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,241
Moshi,2014-08-01,Moderate Malnutrition,Malnutrition,NCD,75
Moshi,2014-08-01,Neoplasms/Cancer,Cancer,NCD,14
Moshi,2014-08-01,Neuroses,Neurological Disorders,NCD,68
Moshi,2014-08-01,"Nutritional Disorders, Other",Malnutrition,NCD,23
Moshi,2014-08-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,209
Moshi,2014-08-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,506
Moshi,2014-08-01,"Pneumonia, Severe",Respiratory Infection,CD,182
Moshi,2014-08-01,Poisoning,Other Non-Communicable Diseases,NCD,87
