district,date,disease,disease_group,disease_communicable,n_cases
Moshi,2014-03-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,192
Moshi,2014-03-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,13
Moshi,2014-03-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,589
Moshi,2014-03-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-03-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-03-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,26
Moshi,2014-03-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-03-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2508
Moshi,2014-03-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2400
Moshi,2014-04-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,750
Moshi,2014-04-01,Caries,Other Non-Communicable,Non-Communicable Diseases,444
Moshi,2014-04-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,901
Moshi,2014-04-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-04-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-04-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,124
Moshi,2014-04-01,Epilepsy,Neurological,Non-Communicable Diseases,176
Moshi,2014-04-01,Fractures,Trauma,Non-Communicable Diseases,390
Moshi,2014-04-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,749
Moshi,2014-04-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-04-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,1008
Moshi,2014-04-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-04-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,167
Moshi,2014-04-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,32
Moshi,2014-04-01,Neuroses,Neurological,Non-Communicable Diseases,60
Moshi,2014-04-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,159
Moshi,2014-04-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,470
Moshi,2014-04-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,324
Moshi,2014-04-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,138
Moshi,2014-04-01,Psychoses,Neurological,Non-Communicable Diseases,105
Moshi,2014-04-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,211
Moshi,2014-04-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,11
Moshi,2014-04-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,634
Moshi,2014-04-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,1
Moshi,2014-04-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-04-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,16
Moshi,2014-04-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,1
Moshi,2014-04-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2861
Moshi,2014-04-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2466
Moshi,2014-05-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,621
Moshi,2014-05-01,Caries,Other Non-Communicable,Non-Communicable Diseases,521
Moshi,2014-05-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1234
Moshi,2014-05-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-05-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-05-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,140
Moshi,2014-05-01,Epilepsy,Neurological,Non-Communicable Diseases,207
Moshi,2014-05-01,Fractures,Trauma,Non-Communicable Diseases,471
Moshi,2014-05-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,1149
Moshi,2014-05-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-05-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,1002
Moshi,2014-05-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-05-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,478
Moshi,2014-05-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,29
Moshi,2014-05-01,Neuroses,Neurological,Non-Communicable Diseases,37
Moshi,2014-05-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,311
Moshi,2014-05-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,599
Moshi,2014-05-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,459
Moshi,2014-05-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,265
Moshi,2014-05-01,Psychoses,Neurological,Non-Communicable Diseases,104
Moshi,2014-05-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,173
Moshi,2014-05-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,76
Moshi,2014-05-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,817
Moshi,2014-05-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-05-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-05-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,44
Moshi,2014-05-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,1
Moshi,2014-05-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,3459
Moshi,2014-05-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,4676
Moshi,2014-06-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,428
Moshi,2014-06-01,Caries,Other Non-Communicable,Non-Communicable Diseases,602
Moshi,2014-06-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,946
Moshi,2014-06-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-06-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-06-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,160
Moshi,2014-06-01,Epilepsy,Neurological,Non-Communicable Diseases,181
Moshi,2014-06-01,Fractures,Trauma,Non-Communicable Diseases,349
Moshi,2014-06-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,695
Moshi,2014-06-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-06-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,751
Moshi,2014-06-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-06-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,293
Moshi,2014-06-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,15
Moshi,2014-06-01,Neuroses,Neurological,Non-Communicable Diseases,101
Moshi,2014-06-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,282
Moshi,2014-06-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,537
Moshi,2014-06-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,496
Moshi,2014-06-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,194
Moshi,2014-06-01,Psychoses,Neurological,Non-Communicable Diseases,124
Moshi,2014-06-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,220
Moshi,2014-06-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,11
Moshi,2014-06-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,657
Moshi,2014-06-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,4
Moshi,2014-06-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-06-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,26
Moshi,2014-06-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-06-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2676
Moshi,2014-06-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2237
Moshi,2014-07-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,689
Moshi,2014-07-01,Caries,Other Non-Communicable,Non-Communicable Diseases,590
Moshi,2014-07-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1021
Moshi,2014-07-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-07-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,452
Moshi,2014-07-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,144
Moshi,2014-07-01,Epilepsy,Neurological,Non-Communicable Diseases,234
Moshi,2014-07-01,Fractures,Trauma,Non-Communicable Diseases,452
Moshi,2014-07-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,1021
Moshi,2014-07-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,171
Moshi,2014-07-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,864
Moshi,2014-07-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-07-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,140
Moshi,2014-07-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,8
Moshi,2014-07-01,Neuroses,Neurological,Non-Communicable Diseases,106
Moshi,2014-07-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,297
Moshi,2014-07-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,744
Moshi,2014-07-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,405
Moshi,2014-07-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,153
Moshi,2014-07-01,Psychoses,Neurological,Non-Communicable Diseases,80
Moshi,2014-07-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,161
Moshi,2014-07-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,9
Moshi,2014-07-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,799
Moshi,2014-07-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,3
Moshi,2014-07-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,32
Moshi,2014-07-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,34
Moshi,2014-07-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,NA
Moshi,2014-07-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,3049
Moshi,2014-07-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2300
Moshi,2014-08-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,448
Moshi,2014-08-01,Caries,Other Non-Communicable,Non-Communicable Diseases,711
Moshi,2014-08-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,708
Moshi,2014-08-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,33
Moshi,2014-08-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-08-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,113
Moshi,2014-08-01,Epilepsy,Neurological,Non-Communicable Diseases,544
Moshi,2014-08-01,Fractures,Trauma,Non-Communicable Diseases,282
Moshi,2014-08-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,822
Moshi,2014-08-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,15
Moshi,2014-08-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,609
Moshi,2014-08-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,23
Moshi,2014-08-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,76
Moshi,2014-08-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,14
Moshi,2014-08-01,Neuroses,Neurological,Non-Communicable Diseases,68
Moshi,2014-08-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,209
Moshi,2014-08-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,506
Moshi,2014-08-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,182
Moshi,2014-08-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,87
Moshi,2014-08-01,Psychoses,Neurological,Non-Communicable Diseases,434
Moshi,2014-08-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,163
Moshi,2014-08-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,13
Moshi,2014-08-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,502
Moshi,2014-08-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,2
Moshi,2014-08-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-08-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,45
Moshi,2014-08-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,1
Moshi,2014-08-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2584
Moshi,2014-08-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,1975
Moshi,2014-09-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,721
Moshi,2014-09-01,Caries,Other Non-Communicable,Non-Communicable Diseases,357
Moshi,2014-09-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1122
Moshi,2014-09-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-09-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,7
Moshi,2014-09-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,117
Moshi,2014-09-01,Epilepsy,Neurological,Non-Communicable Diseases,542
Moshi,2014-09-01,Fractures,Trauma,Non-Communicable Diseases,375
Moshi,2014-09-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,848
Moshi,2014-09-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-09-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,1014
Moshi,2014-09-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,2
Moshi,2014-09-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,194
Moshi,2014-09-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,3
Moshi,2014-09-01,Neuroses,Neurological,Non-Communicable Diseases,416
Moshi,2014-09-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,282
Moshi,2014-09-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,781
Moshi,2014-09-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,387
Moshi,2014-09-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,204
Moshi,2014-09-01,Psychoses,Neurological,Non-Communicable Diseases,70
Moshi,2014-09-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,226
Moshi,2014-09-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,83
Moshi,2014-09-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,782
Moshi,2014-09-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,1
Moshi,2014-09-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-09-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,34
Moshi,2014-09-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-09-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2725
Moshi,2014-09-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2054
Moshi,2014-10-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,982
Moshi,2014-10-01,Caries,Other Non-Communicable,Non-Communicable Diseases,977
Moshi,2014-10-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1388
Moshi,2014-10-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,91
Moshi,2014-10-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,1
Moshi,2014-10-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,82
Moshi,2014-10-01,Epilepsy,Neurological,Non-Communicable Diseases,533
Moshi,2014-10-01,Fractures,Trauma,Non-Communicable Diseases,482
Moshi,2014-10-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,1572
Moshi,2014-10-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,22
Moshi,2014-10-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,953
Moshi,2014-10-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,1
Moshi,2014-10-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,171
Moshi,2014-10-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,17
Moshi,2014-10-01,Neuroses,Neurological,Non-Communicable Diseases,102
Moshi,2014-10-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,481
Moshi,2014-10-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,900
Moshi,2014-10-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,459
Moshi,2014-10-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,147
Moshi,2014-10-01,Psychoses,Neurological,Non-Communicable Diseases,332
Moshi,2014-10-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,193
Moshi,2014-10-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,36
Moshi,2014-10-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,837
Moshi,2014-10-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,1
Moshi,2014-10-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,8
Moshi,2014-10-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,75
Moshi,2014-10-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,2
Moshi,2014-10-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,3326
Moshi,2014-10-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2819
Moshi,2014-11-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,481
Moshi,2014-11-01,Caries,Other Non-Communicable,Non-Communicable Diseases,562
Moshi,2014-11-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1000
Moshi,2014-11-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,362
Moshi,2014-11-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,307
Moshi,2014-11-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,132
Moshi,2014-11-01,Epilepsy,Neurological,Non-Communicable Diseases,563
Moshi,2014-11-01,Fractures,Trauma,Non-Communicable Diseases,409
Moshi,2014-11-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,910
Moshi,2014-11-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,28
Moshi,2014-11-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,790
Moshi,2014-11-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,3
Moshi,2014-11-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,141
Moshi,2014-11-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,36
